DATE,M0892AUSM156SNBR
1929-04-01,0.69
1929-05-01,1.65
1929-06-01,2.06
1929-07-01,0.79
1929-08-01,0.04
1929-09-01,0.91
1929-10-01,2.31
1929-11-01,1.89
1929-12-01,2.08
1930-01-01,2.21
1930-02-01,3.12
1930-03-01,3.63
1930-04-01,3.60
1930-05-01,3.39
1930-06-01,3.77
1930-07-01,5.02
1930-08-01,6.64
1930-09-01,7.79
1930-10-01,9.01
1930-11-01,10.78
1930-12-01,11.89
1931-01-01,11.18
1931-02-01,11.67
1931-03-01,11.78
1931-04-01,11.94
1931-05-01,12.30
1931-06-01,13.02
1931-07-01,13.84
1931-08-01,15.01
1931-09-01,15.83
1931-10-01,16.75
1931-11-01,17.95
1931-12-01,19.10
1932-01-01,18.04
1932-02-01,18.66
1932-03-01,19.78
1932-04-01,21.03
1932-05-01,22.34
1932-06-01,23.72
1932-07-01,24.54
1932-08-01,25.02
1932-09-01,24.85
1932-10-01,24.82
1932-11-01,24.67
1932-12-01,25.20
1933-01-01,23.72
1933-02-01,24.03
1933-03-01,25.36
1933-04-01,25.49
1933-05-01,25.59
1933-06-01,25.04
1933-07-01,23.84
1933-08-01,22.45
1933-09-01,21.48
1933-10-01,21.26
1933-11-01,21.29
1933-12-01,21.07
1934-01-01,18.80
1934-02-01,17.90
1934-03-01,16.81
1934-04-01,16.64
1934-05-01,16.96
1934-06-01,17.69
1934-07-01,18.79
1934-08-01,20.27
1934-09-01,21.51
1934-10-01,21.54
1934-11-01,21.41
1934-12-01,20.44
1935-01-01,17.88
1935-02-01,17.50
1935-03-01,17.54
1935-04-01,17.55
1935-05-01,17.77
1935-06-01,18.14
1935-07-01,17.72
1935-08-01,17.77
1935-09-01,18.41
1935-10-01,17.45
1935-11-01,16.80
1935-12-01,16.44
1936-01-01,14.96
1936-02-01,15.10
1936-03-01,14.86
1936-04-01,15.57
1936-05-01,14.67
1936-06-01,14.85
1936-07-01,14.25
1936-08-01,13.46
1936-09-01,13.31
1936-10-01,13.81
1936-11-01,13.24
1936-12-01,12.78
1937-01-01,12.11
1937-02-01,11.99
1937-03-01,11.73
1937-04-01,11.85
1937-05-01,11.23
1937-06-01,11.50
1937-07-01,10.97
1937-08-01,11.14
1937-09-01,11.63
1937-10-01,12.19
1937-11-01,13.70
1937-12-01,15.91
1938-01-01,16.88
1938-02-01,17.88
1938-03-01,18.49
1938-04-01,18.96
1938-05-01,19.74
1938-06-01,20.00
1938-07-01,19.58
1938-08-01,19.18
1938-09-01,18.60
1938-10-01,18.22
1938-11-01,17.14
1938-12-01,16.36
1939-01-01,17.61
1939-02-01,17.43
1939-03-01,17.19
1939-04-01,17.39
1939-05-01,16.90
1939-06-01,16.29
1939-07-01,16.18
1939-08-01,15.79
1939-09-01,15.22
1939-10-01,15.48
1939-11-01,15.49
1939-12-01,15.19
1940-01-01,15.53
1940-02-01,15.67
1940-03-01,15.66
1940-04-01,16.00
1940-05-01,15.57
1940-06-01,14.96
1940-07-01,14.24
1940-08-01,13.35
1940-09-01,12.55
1940-10-01,12.26
1940-11-01,11.65
1940-12-01,10.85
1941-01-01,10.49
1941-02-01,9.64
1941-03-01,9.10
1941-04-01,7.98
1941-05-01,6.84
1941-06-01,5.66
1941-07-01,3.88
1941-08-01,3.36
1941-09-01,3.43
1941-10-01,4.13
1941-11-01,3.93
1941-12-01,3.58
1942-01-01,3.72
1942-02-01,3.56
1942-03-01,3.22
1942-04-01,2.33
1942-05-01,1.22
1942-06-01,0.24
